distance,angle_from_map,lon,lat,Altitude
164,147.6306307,4.386928698,50.82200079,-0.021
165,147.6306307,4.386928698,50.82200079,-0.02
166,147.6306307,4.386928698,50.82200079,-0.019
167,147.6306307,4.386928698,50.82200079,-0.018
168,147.6306307,4.386928698,50.82200079,-0.017
169,147.6306307,4.386928698,50.82200079,-0.016
170,147.6306307,4.386928698,50.82200079,-0.015
171,147.6306307,4.386928698,50.82200079,-0.014
172,147.6306307,4.386928698,50.82200079,-0.013
173,147.6306307,4.386928698,50.82200079,-0.012
174,147.6306307,4.386928698,50.82200079,-0.011
175,147.6306307,4.386928698,50.82200079,-0.01
176,147.6306307,4.386928698,50.82200079,-0.009
177,147.6306307,4.386928698,50.82200079,-0.008
178,147.6306307,4.386928698,50.82200079,-0.007
179,147.6306307,4.386928698,50.82200079,-0.006
180,147.6306307,4.386928698,50.82200079,-0.005
181,147.6306307,4.386928698,50.82200079,-0.004
182,147.6306307,4.386928698,50.82200079,-0.003
183,147.6306307,4.386928698,50.82200079,-0.002
184,147.6306307,4.386928698,50.82200079,-0.001
185,147.6306307,4.386928698,50.82200079,0
