distance,angle_from_map,lat,lon,depth
156,325.9223596,50.82202721,4.386291244,-0.1
157,325.9223596,50.82203466,4.386283295,-0.1
158,325.9223596,50.82204211,4.386275345,-0.1
159,329.6767419,50.82204982,4.386268059,-0.1
160,329.6767419,50.82205758,4.386260897,-0.1
161,333.4322713,50.8220654,4.386253906,-0.1
162,333.4322713,50.82207344,4.386247561,-0.1
163,333.4322713,50.82208148,4.386241217,-0.1
164,337.1888537,50.82208966,4.386235359,-0.1
165,337.1888537,50.82209795,4.38622986,-0.1
166,337.1888537,50.82210624,4.386224361,-0.1
167,340.9463766,50.82211472,4.38621968,-0.1
168,340.9463766,50.82212322,4.386215051,-0.1
169,344.7047115,50.82213177,4.386210695,-0.1
170,344.7047115,50.82214044,4.386206955,-0.1
171,344.7047115,50.82214912,4.386203215,-0.1
172,348.4637155,50.82215788,4.386200086,-0.1
173,348.4637155,50.82216669,4.386197251,-0.1
174,352.2232343,50.8221755,4.386194457,-0.1
175,352.2232343,50.82218441,4.38619254,-0.1
176,352.2232343,50.82219332,4.386190623,-0.1
177,355.9831045,50.82220225,4.386189087,-0.1
178,355.9831045,50.82221122,4.386188096,-0.1
179,355.9831045,50.82222018,4.386187105,-0.1
180,359.7431567,50.82222917,4.386186839,-0.1
181,359.7431567,50.82223816,4.386186779,-0.1
182,3.503218174,50.82224714,4.386186856,-0.1
183,3.503218174,50.82225612,4.386187726,-0.1
184,3.503218174,50.82226509,4.386188597,-0.1
185,7.263116065,50.82227403,4.386189944,-0.1
186,7.263116065,50.82228295,4.386191742,-0.1
187,7.263116065,50.82229187,4.38619354,-0.1
188,11.02268034,50.8223007,4.386196148,-0.1
189,11.02268034,50.82230953,4.386198865,-0.1
190,14.78174678,50.82231832,4.386201809,-0.1
191,14.78174678,50.82232701,4.386205433,-0.1
192,14.78174678,50.8223357,4.386209057,-0.1
193,18.54015968,50.82234429,4.386213232,-0.1
194,18.54015968,50.82235281,4.386217747,-0.1
195,18.54015968,50.82236133,4.386222263,-0.1
196,22.29777478,50.82236965,4.386227637,-0.1
197,22.29777478,50.82237797,4.386233025,-0.1
198,26.05446151,50.8223862,4.386238711,-0.1
199,26.05446151,50.82239427,4.386244948,-0.1
200,26.05446151,50.82240235,4.386251184,-0.1
201,29.81010543,50.82241023,4.38625801,-0.1
202,29.81010543,50.82241803,4.386265069,-0.1
203,33.56461002,50.8224258,4.386272193,-0.1
204,33.56461002,50.82243329,4.386280042,-0.1
205,33.56461002,50.82244078,4.386287892,-0.1
206,37.31789848,50.82244811,4.386296081,-0.1
207,37.31789848,50.82245526,4.386304687,-0.1
208,37.31789848,50.82246241,4.386313294,-0.1
209,41.06991479,50.82246925,4.386322487,-0.1
210,41.06991479,50.82247603,4.386331813,-0.1
211,44.82062488,50.82248273,4.386341261,-0.1
212,44.82062488,50.82248911,4.386351268,-0.1
213,44.82062488,50.82249548,4.386361274,-0.1
214,48.57001711,50.82250163,4.386371626,-0.1
215,48.57001711,50.82250757,4.386382269,-0.1
216,48.57001711,50.82251352,4.386392912,-0.1
217,52.31810216,50.82251906,4.386404091,-0.1
218,52.31810216,50.82252455,4.386415325,-0.1
219,56.06491332,50.82252991,4.386426706,-0.1
220,56.06491332,50.82253493,4.386438483,-0.1
221,56.06491332,50.82253995,4.38645026,-0.1
222,59.8105052,50.82254465,4.386462348,-0.1
223,59.8105052,50.82254917,4.386474617,-0.1
224,59.8105052,50.82255368,4.386486886,-0.1
225,63.55495351,50.82255769,4.386499593,-0.1
226,63.55495351,50.82256169,4.386512301,-0.1
227,67.29835307,50.8225655,4.386525148,-0.1
228,67.29835307,50.82256897,4.386538242,-0.1
229,67.29835307,50.82257243,4.386551336,-0.1
230,71.04081674,50.82257551,4.386564667,-0.1
231,71.04081674,50.82257842,4.38657809,-0.1
232,74.78247278,50.8225813,4.386591536,-0.1
233,74.78247278,50.82258366,4.386605231,-0.1
234,74.78247278,50.82258601,4.386618926,-0.1
235,78.52346364,50.82258812,4.386632716,-0.1
236,78.52346364,50.8225899,4.386646625,-0.1
237,78.52346364,50.82259169,4.386660534,-0.1
238,82.26394243,50.82259301,4.386674567,-0.1
239,82.26394243,50.82259422,4.386688631,-0.1
240,86.00407136,50.82259533,4.38670271,-0.1
241,86.00407136,50.82259596,4.386716867,-0.1
242,86.00407136,50.82259658,4.386731025,-0.1
243,89.74401828,50.8225969,4.386745201,-0.1
244,89.74401828,50.82259693,4.386759393,-0.1
245,89.74401828,50.82259697,4.386773585,-0.1
246,93.48395393,50.82259649,4.386787753,-0.1
247,93.48395393,50.82259594,4.386801919,-0.1
248,97.2240499,50.82259525,4.386816063,-0.1
249,97.2240499,50.82259412,4.386830142,-0.1
250,97.2240499,50.82259298,4.386844221,-0.1
251,100.9644743,50.8225915,4.386858211,-0.1
252,100.9644743,50.82258979,4.386872143,-0.1
253,100.9644743,50.82258807,4.386886076,-0.1
