Distance,lat,lon,Elevation,depth
1718,39.80472063,-119.005014,1241.414273,-1.241414273
1729,39.80480076,-119.0050905,1241.071,-1.241071
1740,39.80488091,-119.005167,1240.839818,-1.240839818
1751,39.80496104,-119.0052435,1240.273545,-1.240273545
1762,39.80504119,-119.00532,1240.287273,-1.240287273
1773,39.80512132,-119.0053965,1240.442727,-1.240442727
1784,39.80520145,-119.005473,1240.317364,-1.240317364
1795,39.8052816,-119.0055496,1240.076636,-1.240076636
1806,39.80536172,-119.0056261,1239.754364,-1.239754364
1817,39.80544187,-119.0057026,1239.560545,-1.239560545
1828,39.80552199,-119.0057791,1239.384364,-1.239384364
1839,39.80559332,-119.0058365,1239.263455,-1.239263455
1850,39.80559406,-119.0057399,1239.551818,-1.239551818
1861,39.80557951,-119.0056101,1239.910273,-1.239910273
1872,39.80556496,-119.0054803,1240.127636,-1.240127636
1883,39.80555043,-119.0053505,1240.381727,-1.240381727
1894,39.80553589,-119.0052208,1240.760182,-1.240760182
1905,39.80552133,-119.005091,1241.028273,-1.241028273
1916,39.8055068,-119.0049612,1241.117182,-1.241117182
1927,39.80549225,-119.0048314,1241.446182,-1.241446182
1938,39.80547769,-119.0047016,1241.727545,-1.241727545
1949,39.80546317,-119.0045718,1241.955727,-1.241955727
1960,39.80544862,-119.004442,1242.497364,-1.242497364
1971,39.80543407,-119.0043122,1243.111636,-1.243111636
1982,39.80541954,-119.0041824,1243.660727,-1.243660727
1993,39.805405,-119.0040526,1244.05,-1.24405
2004,39.80539045,-119.0039228,1244.601727,-1.244601727
2015,39.8053759,-119.003793,1245.306273,-1.245306273
2026,39.80536775,-119.0036726,1245.647364,-1.245647364
2037,39.80543951,-119.0036703,1245.614091,-1.245614091
2048,39.80553521,-119.0037032,1245.536091,-1.245536091
2059,39.80563089,-119.0037362,1245.469455,-1.245469455
2070,39.80572658,-119.0037691,1245.288364,-1.245288364
2081,39.80582227,-119.003802,1245.072364,-1.245072364
2092,39.80591796,-119.003835,1245.304545,-1.245304545
2103,39.80600079,-119.0038422,1245.497364,-1.245497364
2114,39.80602403,-119.0037303,1245.892455,-1.245892455
2125,39.80603986,-119.0036036,1246.102091,-1.246102091
2136,39.80605568,-119.0034769,1245.719273,-1.245719273
2147,39.80607152,-119.0033502,1245.105727,-1.245105727
2158,39.80609062,-119.0032259,1244.743727,-1.244743727
2169,39.80615724,-119.0031356,1245.579,-1.245579
2180,39.80623917,-119.0030563,1247.584636,-1.247584636
2191,39.80633031,-119.0030251,1248.006818,-1.248006818
2202,39.80642986,-119.0030377,1248.073727,-1.248073727
2213,39.8065294,-119.0030503,1248.167182,-1.248167182
2224,39.80662894,-119.0030629,1248.298909,-1.248298909
2235,39.80672849,-119.0030755,1248.423182,-1.248423182
2246,39.80682803,-119.0030881,1248.422818,-1.248422818
2257,39.80692757,-119.0031007,1248.401273,-1.248401273
2268,39.80702563,-119.00311,1248.522182,-1.248522182
2279,39.80708288,-119.0030295,1248.850455,-1.248850455
2290,39.8071222,-119.0029095,1249.291636,-1.249291636
2301,39.80716152,-119.0027894,1249.607727,-1.249607727
2312,39.80720084,-119.0026694,1249.735182,-1.249735182
2323,39.80724017,-119.0025494,1249.748545,-1.249748545
2334,39.80727949,-119.0024294,1249.754,-1.249754
2345,39.80731882,-119.0023094,1249.565727,-1.249565727
2356,39.80737618,-119.0022561,1249.966727,-1.249966727
2367,39.80746362,-119.0023142,1249.935818,-1.249935818
2378,39.80755146,-119.0023738,1249.734818,-1.249734818
2389,39.80763928,-119.0024334,1249.495909,-1.249495909
2400,39.80772711,-119.002493,1249.326182,-1.249326182
2411,39.80781495,-119.0025526,1249.303182,-1.249303182
2422,39.80790277,-119.0026122,1248.922818,-1.248922818
2433,39.80799061,-119.0026718,1247.782909,-1.247782909
2444,39.80807846,-119.0027314,1246.981455,-1.246981455
2455,39.80816629,-119.002791,1245.934182,-1.245934182
2466,39.80825412,-119.0028506,1245.768545,-1.245768545
2477,39.80834196,-119.0029102,1246.618182,-1.246618182
2488,39.80842979,-119.0029698,1246.330818,-1.246330818
2499,39.80847561,-119.0029428,1246.273545,-1.246273545
2510,39.80847098,-119.002812,1246.960727,-1.246960727
2521,39.8084664,-119.0026811,1247.43,-1.24743
2532,39.80846178,-119.0025503,1248.167,-1.248167
2543,39.80845718,-119.0024194,1249.036636,-1.249036636
2554,39.80845256,-119.0022886,1249.610091,-1.249610091
2565,39.80844795,-119.0021577,1249.885818,-1.249885818
2576,39.80844336,-119.0020269,1249.946727,-1.249946727
2587,39.80843874,-119.0018961,1249.884545,-1.249884545
2598,39.80843413,-119.0017652,1249.832182,-1.249832182
2609,39.80842952,-119.0016344,1249.926636,-1.249926636
2620,39.80842551,-119.001504,1250.049727,-1.250049727
2631,39.80847835,-119.001419,1250.173182,-1.250173182
2642,39.80856831,-119.0013638,1250.393636,-1.250393636
2653,39.80865829,-119.0013086,1250.609091,-1.250609091
2664,39.80874825,-119.0012534,1250.760364,-1.250760364
2675,39.80883823,-119.0011981,1250.855364,-1.250855364
2686,39.80892833,-119.0011461,1250.894909,-1.250894909
2697,39.80902129,-119.0011655,1250.841909,-1.250841909
2708,39.80911544,-119.0012141,1250.724545,-1.250724545
2719,39.80920957,-119.0012627,1250.537909,-1.250537909
2730,39.80930372,-119.0013113,1250.468455,-1.250468455
2741,39.80939786,-119.0013599,1250.433909,-1.250433909
2752,39.80949201,-119.0014085,1250.311455,-1.250311455
2763,39.80958614,-119.0014571,1250.074545,-1.250074545
2774,39.80968028,-119.0015057,1249.345818,-1.249345818
2785,39.80977443,-119.0015542,1249.567455,-1.249567455
2796,39.80986858,-119.0016029,1249.570545,-1.249570545
2807,39.8099627,-119.0016515,1249.401545,-1.249401545
2818,39.81005685,-119.0017,1249.478091,-1.249478091
2829,39.81011297,-119.0016821,1249.635818,-1.249635818
2840,39.81010572,-119.0015533,1249.856636,-1.249856636
2851,39.81009762,-119.001423,1250.096818,-1.250096818
2862,39.81008952,-119.0012927,1250.255,-1.250255
2873,39.81008142,-119.0011624,1250.368818,-1.250368818
2884,39.81007332,-119.0010321,1250.559818,-1.250559818
2895,39.81006522,-119.0009018,1250.798182,-1.250798182
2906,39.81005712,-119.0007715,1251.026727,-1.251026727
2917,39.81004903,-119.0006412,1251.333273,-1.251333273
2928,39.81004114,-119.0005111,1251.888,-1.251888
2939,39.81008947,-119.0004247,1251.841818,-1.251841818
2950,39.81018109,-119.0003719,1251.949273,-1.251949273
2961,39.81027269,-119.0003191,1252.122818,-1.252122818
2972,39.81036428,-119.0002663,1252.276273,-1.252276273
2983,39.81045591,-119.0002135,1252.315455,-1.252315455
2994,39.8105475,-119.0001607,1252.608727,-1.252608727
3005,39.81063911,-119.0001079,1252.956727,-1.252956727
3016,39.81073071,-119.0000551,1253.222818,-1.253222818
3027,39.8108223,-119.0000023,1253.376818,-1.253376818
3038,39.81091394,-118.9999495,1253.555364,-1.253555364
